Date,Open,High,Low,Close,Adj Close,Volume
1972-08-25,0.021159,0.021566,0.021159,0.021484,0.011698,7526400
1972-08-28,0.021484,0.021647,0.021403,0.021403,0.011654,2918400
1972-08-29,0.021322,0.021322,0.021159,0.021159,0.011521,5836800
1972-08-30,0.021159,0.021159,0.020996,0.021159,0.011521,1228800
1972-08-31,0.020996,0.020996,0.020833,0.020833,0.011343,2611200
1972-09-01,0.020915,0.020996,0.020915,0.020996,0.011432,768000
1972-09-05,0.020996,0.020996,0.020833,0.020833,0.011343,1689600
1972-09-06,0.020996,0.020996,0.020996,0.020996,0.011432,768000
1972-09-07,0.020996,0.020996,0.020915,0.020915,0.011388,3532800
1972-09-08,0.020833,0.020833,0.020752,0.020752,0.011299,1996800
1972-09-11,0.020915,0.020915,0.020915,0.020915,0.011388,2764800
1972-09-12,0.020915,0.020915,0.020915,0.020915,0.011388,1843200
1972-09-13,0.020915,0.020915,0.020915,0.020915,0.011388,460800
1972-09-14,0.020915,0.021077,0.020833,0.021077,0.011476,3840000
1972-09-15,0.020996,0.020996,0.020915,0.020915,0.011388,1536000
1972-09-18,0.020996,0.021077,0.020996,0.020996,0.011432,3225600
1972-09-19,0.020915,0.020915,0.020752,0.020833,0.011343,9369600
1972-09-20,0.020671,0.020671,0.020671,0.020671,0.011255,153600
1972-09-21,0.020508,0.020508,0.020020,0.020020,0.010901,4300800
1972-09-22,0.019938,0.019938,0.019287,0.019287,0.010501,2611200
1972-09-25,0.019206,0.019206,0.018717,0.018717,0.010191,2918400
1972-09-26,0.018717,0.018717,0.018555,0.018636,0.010147,2150400
1972-09-27,0.018473,0.018473,0.018229,0.018229,0.009925,1996800
1972-09-28,0.018555,0.018880,0.018555,0.018717,0.010191,4300800
1972-09-29,0.018880,0.018962,0.018880,0.018962,0.010325,768000
1972-10-02,0.019124,0.019857,0.019124,0.019857,0.010812,4915200
1972-10-03,0.020020,0.020182,0.020020,0.020182,0.010989,1536000
1972-10-04,0.020264,0.020752,0.020264,0.020589,0.011210,4608000
1972-10-05,0.020467,0.020467,0.020020,0.020020,0.010901,4147200
1972-10-06,0.019938,0.019938,0.019206,0.019206,0.010457,29337600
1972-10-09,0.019368,0.019531,0.019368,0.019531,0.010634,3840000
1972-10-10,0.019531,0.019531,0.019531,0.019531,0.010634,0
1972-10-11,0.019531,0.019613,0.019368,0.019613,0.010679,1382400
1972-10-12,0.019531,0.019531,0.019450,0.019450,0.010590,1075200
1972-10-13,0.019450,0.019450,0.019450,0.019450,0.010590,153600
1972-10-16,0.019368,0.019368,0.018962,0.018962,0.010325,1996800
1972-10-17,0.018962,0.019368,0.018799,0.019287,0.010501,7372800
1972-10-18,0.019450,0.020833,0.019450,0.020671,0.011255,23347200
1972-10-19,0.020671,0.020833,0.020671,0.020752,0.011299,31795200
1972-10-20,0.020589,0.020589,0.020589,0.020589,0.011210,153600
1972-10-23,0.020589,0.020589,0.020508,0.020508,0.011166,1382400
1972-10-24,0.020589,0.020589,0.020589,0.020589,0.011210,307200
1972-10-25,0.020426,0.020426,0.020182,0.020182,0.010989,3686400
1972-10-26,0.020345,0.020345,0.020345,0.020345,0.011078,153600
1972-10-27,0.020426,0.020426,0.020426,0.020426,0.011122,614400
1972-10-30,0.020426,0.020508,0.020264,0.020345,0.011078,3993600
